title,artistName,yearAsString,genre,image,vector
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-6.jpg!Large.jpg,"[8.904564315352697, 0.4080221300138313, 24.410788381742737, 8.842323651452281, 19.473029045643152, 19.87551867219917, 18.085753803596127, 6, 50.079315488297674]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-7.jpg!Large.jpg,"[0.7930607187112764, 0.07930607187112763, 45.44237918215613, 2.8240396530359355, 14.236679058240394, 19.042131350681537, 17.582403965303595, 4, 57.25706441188619]"
Composition,Mattis-Teutsch Janos,1920,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1920-8.jpg!Large.jpg,"[32.939655172413794, 2.17816091954023, 15.260057471264368, 7.708333333333334, 15.708333333333332, 10.133620689655173, 16.07183908045977, 6, 45.835288483209375]"
Composition,Mattis-Teutsch Janos,1921,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1921(2).jpg!Large.jpg,"[11.53781512605042, 4.781512605042017, 38.4327731092437, 0.04481792717086835, 6.26750700280112, 5.060224089635854, 33.87535014005602, 5, 52.79690229032789]"
Composition,Mattis-Teutsch Janos,1921,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1921(3).jpg!Large.jpg,"[0.0, 0.2875, 51.60972222222222, 0.002777777777777778, 6.483333333333334, 11.884722222222223, 29.731944444444448, 4, 55.82503812636165]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1922(4).jpg!Large.jpg,"[14.24931129476584, 0.16391184573002754, 12.015151515151516, 47.128099173553714, 7.910468319559229, 0.05096418732782369, 18.482093663911844, 5, 43.7044941392535]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1922(5).jpg!Large.jpg,"[19.07949790794979, 0.19665271966527198, 45.634588563458856, 3.887029288702929, 17.601115760111576, 0.19525801952580196, 13.405857740585775, 4, 49.819870374928215]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads4.wikiart.org/images/janos-mattis-teutsch/composition-1922-1(9).jpg!Large.jpg,"[0.12365591397849464, 0.0, 2.2526881720430105, 0.814516129032258, 8.134408602150538, 0.038978494623655914, 88.63575268817205, 2, 37.525448028673836]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-2.jpg!Large.jpg,"[46.33806146572104, 22.24822695035461, 0.0, 0.0, 12.414893617021276, 0.08747044917257683, 18.911347517730494, 4, 38.803314328095304]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-3.jpg!Large.jpg,"[8.928763440860216, 2.9408602150537635, 9.948924731182796, 2.7728494623655915, 10.778225806451614, 50.950268817204304, 13.680107526881722, 5, 63.69021716213366]"
